"","Codigos","Anno","nombrePais","ratio","PIB","ENERGIA","RENOVABLE","poblacion","ren.por.habitante","ren.por.PIB"
"121","HR","2009","Croacia",35.9,45090.7,15511,5568.45,4309796,2.56,7.83
"122","HR","2010","Croacia",37.6,45004.3,15862,5964.11,4302847,2.74,8.41
"123","HR","2011","Croacia",37.6,44708.6,15735,5916.36,4289857,2.73,8.39
"124","HR","2012","Croacia",38.8,43933.7,15350,5955.8,4275984,2.76,8.6
"125","HR","2013","Croacia",42.2,43487.1,15072,6360.38,4262140,2.95,9.28
"126","HR","2014","Croacia",45.3,42977.8,14833,6719.35,4246809,3.13,9.92
"127","HU","2006","Hungría",3.5,91398.7,33238,1163.33,10076581,0.23,0.81
"128","HU","2007","Hungría",4.2,101692.4,33744,1417.25,10066158,0.28,0.88
"129","HU","2008","Hungría",5.3,107637.3,34327,1819.33,10045401,0.36,1.07
"130","HU","2009","Hungría",7,93808.8,33150,2320.5,10030975,0.46,1.57
"131","HU","2010","Hungría",7.1,98322.6,34207,2428.7,10014324,0.48,1.57
"132","HU","2011","Hungría",6.4,100820.1,34540,2210.56,9985722,0.44,1.39
"133","HU","2012","Hungría",6.1,99085.6,32812,2001.53,9931925,0.4,1.28
"134","HU","2013","Hungría",6.6,101483.3,34873,2301.62,9908798,0.46,1.44
"135","HU","2014","Hungría",7.3,104953.3,34704,2533.39,9877365,0.51,1.53
"136","IE","2006","Irlanda",8.7,185060.7,25879,2251.47,4208156,1.06,0.77
"137","IE","2007","Irlanda",10.4,197293.4,25863,2689.75,4340118,1.23,0.86
"138","IE","2008","Irlanda",11.2,187687.2,26674,2987.49,4457765,1.33,1.01
"139","IE","2009","Irlanda",13.4,169704.3,25268,3385.91,4521322,1.48,1.27
"140","IE","2010","Irlanda",14.5,167124.3,25420,3685.9,4549428,1.6,1.4
"141","IE","2011","Irlanda",17.2,173070.2,24871,4277.81,4570881,1.85,1.57
"142","IE","2012","Irlanda",19.5,175753.6,24163,4711.78,4582707,2.03,1.7
"143","IE","2013","Irlanda",20.8,180209.3,24201,5033.81,4591087,2.17,1.77
"144","IE","2014","Irlanda",22.7,193159.6,24136,5478.87,4605501,2.35,1.8
"145","IS","2006","Islandia",93.5,13629.2,8998,8413.13,299891,55.5,39.16
"146","IS","2007","Islandia",113.7,15566,10886,12377.38,307672,79.59,50.44
